,city,walkscore,pm2_5,co2,no2,strava
0,Cologne Köln,99,6.7931410256410185,327.0258653846155,21.154166666666672,350452
0,Wiesbaden,90,10.209358974358983,335.9369230769229,21.3648717948718,354310
0,Bad Homburg,98,11.024423076923073,349.11750000000006,23.81573717948718,349360
0,Frankfurt am Main,100,11.562596153846155,367.935608974359,25.889615384615393,353613
0,Sofia,98,13.938653846153853,372.9582692307691,11.968782051282057,297217
0,Berlin,99,11.407275641025647,366.3949679487178,22.581250000000015,345859
0,The Hague,80,3.287019230769233,273.8441666666666,10.967596153846157,284294
0,Amsterdam,99,4.09778846153846,297.7014102564103,22.099871794871802,338567
0,Provincie Utrecht,4,5.742788461538463,308.8063782051281,19.273173076923086,465918
0,Stara Zagora,57,7.528365384615384,279.7118910256409,5.737884615384616,247247
0,Houston,94,8.633397435897443,387.8447756410258,23.010576923076915,269997
0,Hamburg,100,8.097307692307693,326.0514423076925,19.256089743589726,368923
0,Rotterdam,98,4.420256410256409,309.21307692307704,23.001794871794893,362348
0,Brussels,100,5.2567628205128205,313.4918269230767,16.54990384615385,328559
0,Kiel,99,7.789551282051288,295.861282051282,11.281955128205126,288163
0,Brno,99,15.34801282051283,362.5969871794871,13.108301282051285,360598
0,Dortmund,89,6.931442307692302,344.5921794871794,24.035673076923082,344164
0,Wuppertal,87,7.630128205128205,342.22756410256443,21.01714743589744,360443
0,Saarbrücken,91,6.773108974358976,294.8447435897435,11.643301282051276,323385
0,Munich,100,16.53192307692307,459.96208333333357,25.928846153846155,371615
0,Stuttgart,99,10.437980769230776,382.88131410256415,22.064166666666686,365502
0,Potsdam,94,8.493408360128617,296.83389067524126,10.147942122186494,336914
0,Dresden,98,10.589614147909968,306.2463987138263,12.178681672025718,380248
0,Hanover,99,6.101832797427651,292.76588424437307,12.109260450160775,323653
0,Saarbrücken,91,6.776045016077174,294.12906752411556,11.391382636655944,323385
0,Mannheim,96,10.277845659163978,363.1621864951768,22.34942122186496,367088
0,Gemeente Nijmegen,84,5.911254019292605,296.79102893890695,16.543504823151125,449581
0,Plovdiv,97,16.866655948553046,411.00832797427654,16.760096463022514,270046
0,Düsseldorf,100,7.003022508038578,334.44131832797416,21.91742765273312,381259
0,Bremen,100,6.837845659163988,290.8021221864954,11.723536977491948,294405
0,Leipzig,100,8.055176848874597,308.29610932475885,13.870160771704185,354961
0,Sydney,49,7.141639871382638,259.3984887459807,13.496623794212224,175175
0,London,100,4.488038585209001,289.2887138263666,19.982090032154343,448877
0,Paris,99,15.651993569131847,508.66488745980695,23.243279742765278,399417
0,New York,98,13.319807073954983,562.5211897106109,38.9604501607717,331125
0,Mainz,95,10.144147909967856,342.51237942122174,21.10569131832797,362095
0,Novi Sad,94,11.358327974276534,290.96286173633456,8.681382636655954,218338
0,Burgas,92,7.20823151125402,269.809163987138,3.5784244372990344,155798
0,Varna,96,7.276141479099677,270.7641800643084,3.9095819935691307,137158
0,Oxford,97,2.4916398713826364,257.2949839228297,7.98260450160772,429619
0,Gemeente Nijmegen,84,6.398397435897436,306.034967948718,20.210256410256413,1099811
0,Donji grad,97,20.871666666666673,383.87570512820525,15.983910256410235,774512
